timestamp,temperature_c,humidity_pct
2026-02-07 10:00:00,22.0,45.0
2026-02-07 10:01:00,22.2,46.3
2026-02-07 10:02:00,22.5,47.7
2026-02-07 10:03:00,22.8,49.2
2026-02-07 10:04:00,23.1,50.8
2026-02-07 10:05:00,23.4,52.5
2026-02-07 10:06:00,23.8,54.3
2026-02-07 10:07:00,24.2,56.2
2026-02-07 10:08:00,24.6,58.2
2026-02-07 10:09:00,25.0,60.3
2026-02-07 10:10:00,25.5,62.5
2026-02-07 10:11:00,26.0,64.8
2026-02-07 10:12:00,26.5,67.0
2026-02-07 10:13:00,27.0,69.3
2026-02-07 10:14:00,27.5,71.5
2026-02-07 10:15:00,27.9,73.7
2026-02-07 10:16:00,28.3,75.5
2026-02-07 10:17:00,28.6,77.2
2026-02-07 10:18:00,28.9,78.7
2026-02-07 10:19:00,29.1,80.0
2026-02-07 10:20:00,28.9,78.5
2026-02-07 10:21:00,28.6,76.5
2026-02-07 10:22:00,28.3,74.2
2026-02-07 10:23:00,27.9,71.8
2026-02-07 10:24:00,27.5,69.3
2026-02-07 10:25:00,27.0,66.5
2026-02-07 10:26:00,26.5,63.7
2026-02-07 10:27:00,26.0,60.8
2026-02-07 10:28:00,25.5,57.8
2026-02-07 10:29:00,25.0,54.7
2026-02-07 10:30:00,24.5,51.5
2026-DDDD 10:00,22.5,45
2026-02-07 10:05,22.6,44
2026-02-07 10:10,22.7,43
2026-02-07 10:15,22.8,42
2026-02-07 10:20,22.9,41
2026-02-07 10:25,23.0,40
2026-02-07 10:30,23.1,39
2026-02-07 10:35,23.2,38
2026-02-07 10:40,23.3,37
2026-02-07 10:45,23.4,36
2026-02-07 10:50,23.5,35
2026-02-07 10:55,23.6,34
2026-02-07 11:00,23.7,33
2026-02-07 11:05,23.8,32
2026-02-07 11:10,23.9,31
2026-02-07 11:15,24.0,30
2026-02-07 11:20,24.1,29
2026-02-07 11:25,24.2,28
2026-02-07 11:30,24.3,27
2026-02-07 11:35,24.4,26
timestamp,,
2026-2-8 1:33:58,21.2,10.0
2026-2-8 1:34:28,21.3,10.0
2026-2-8 1:34:58,21.4,10.0
2026-2-8 1:35:28,21.3,10.0
timestamp,,
2026-2-8 1:36:27,21.3,10.0
2026-2-8 1:36:57,21.5,10.0
2026-2-8 1:37:27,21.5,10.0
2026-2-8 1:37:57,21.5,10.0
2026-2-8 1:38:27,21.6,10.0
2026-2-8 1:38:57,21.6,10.0
2026-2-8 1:39:27,21.6,10.0
2026-2-8 1:39:57,21.5,10.0
timestamp,,
2026-2-8 1:41:34,21.7,10.0
2026-2-8 1:42:4,21.7,10.0
2026-2-8 1:42:34,21.5,10.0
2026-2-8 1:43:4,21.6,10.0
2026-2-8 1:43:35,21.7,10.0
2026-2-8 1:44:5,21.7,10.0
2026-2-8 1:44:35,21.6,10.0
2026-2-8 1:45:5,21.6,10.0
2026-2-8 1:45:35,21.6,10.0
2026-2-8 1:46:5,21.6,10.0
2026-2-8 1:46:35,21.6,10.0
2026-2-8 1:47:5,21.5,10.0
2026-2-8 1:47:35,21.6,10.0
2026-2-8 1:48:5,21.4,10.0
2026-2-8 1:48:35,21.5,10.0
2026-2-8 1:49:6,21.5,10.0
2026-2-8 1:49:36,21.4,10.0
2026-2-8 1:50:6,21.5,10.0
2026-2-8 1:50:36,21.4,10.0
2026-2-8 1:51:6,21.5,10.0
2026-2-8 1:51:36,21.4,10.0
2026-2-8 1:52:6,21.6,10.0
timestamp,,
2026-2-8 1:52:52,21.6,10.0
2026-2-8 1:53:22,21.5,10.0
2026-2-8 1:53:52,21.6,10.0
2026-2-8 1:54:23,21.7,10.0
2026-2-8 1:54:53,21.6,10.0
2026-2-8 1:55:23,21.6,10.0
2026-2-8 1:55:53,21.8,10.0
2026-2-8 1:56:23,21.7,10.0
2026-2-8 1:56:53,21.8,10.0
2026-2-8 1:57:23,21.8,10.0
2026-2-8 1:57:53,21.9,10.0
2026-2-8 1:58:23,21.7,10.0
